Date,Silver_Price,Gold_Price,Oil_Price,BitCoin_Price
2021-01-01,26.525,1887.6,53.55,29374.152344
2021-01-02,26.7665,1906.1333333333332,53.55,32127.267578
2021-01-03,27.008,1924.6666666666667,60.64,32782.023438
2021-01-04,27.584,1943.2,61.45,31971.914063
2021-01-05,27.867,1940.35,64.58500000000001,33992.429688
2021-01-06,27.27,1931.95,67.72,36824.363281
2021-01-07,27.473,1920.1,75.23,39371.042969
2021-01-08,24.845,1862.9,71.91,40797.609375
2021-01-09,24.988999999999997,1857.6833333333334,68.59,40254.546875
2021-01-10,25.133,1852.4666666666667,75.88,38356.441406
2021-01-11,25.478,1847.25,84.05,35566.65625
2021-01-12,25.637,1841.25,65.57,33922.960938
2021-01-13,25.768,1858.85,52.91,37316.359375
2021-01-14,25.997,1841.75,53.57,39187.328125
2021-01-15,25.054,1839.0,52.36,36825.367188
2021-01-16,24.6535,1837.0166666666667,52.28,36178.140625
2021-01-17,24.253,1835.0333333333333,52.2,35791.277344
2021-01-18,25.045,1833.05,52.36,36630.074219
2021-01-19,25.505,1834.7,52.98,36069.804688
2021-01-20,25.933,1856.6,53.24,35547.75
2021-01-21,26.02,1862.1,53.13,30825.699219
2021-01-22,25.717,1852.7,52.27,33005.761719
2021-01-23,25.665999999999997,1854.0833333333333,52.43666666666667,32067.642578
2021-01-24,25.615,1855.4666666666667,52.60333333333334,32289.378906
2021-01-25,25.65,1856.85,52.77,32366.392578
2021-01-26,25.701,1856.6,52.61,32569.849609
2021-01-27,25.548,1843.0,52.85,30432.546875
2021-01-28,26.058,1853.7,52.34,33466.097656
2021-01-29,27.037,1863.8,52.2,34316.386719
2021-01-30,27.9285,1863.5166666666667,52.84,34269.523438
2021-01-31,28.82,1863.2333333333333,53.480000000000004,33114.359375
2021-02-01,29.364,1862.95,54.12,33537.175781
2021-02-02,26.469,1833.1,54.76,35510.289063
2021-02-03,26.982,1835.45,59.75,37472.089844
2021-02-04,26.327,1785.9,62.776666666666664,36926.066406
2021-02-05,27.062,1802.95,65.80333333333333,38144.308594
2021-02-06,27.2025,1813.7166666666667,68.83,39266.011719
2021-02-07,27.343,1824.4833333333333,75.16,38903.441406
2021-02-08,27.602,1835.25,71.26,46196.464844
2021-02-09,27.448,1839.6,69.99,46481.105469
2021-02-10,27.134,1842.65,76.94999999999999,44918.183594
2021-02-11,27.118,1840.1,83.91,47909.332031
2021-02-12,27.38,1816.35,66.5,47504.851563
2021-02-13,27.445,1816.6666666666665,63.435,47105.515625
2021-02-14,27.51,1816.9833333333333,60.37,48717.289063
2021-02-15,27.672,1817.3,60.09,47945.058594
2021-02-16,27.369,1794.25,60.05,49199.871094
2021-02-17,27.362,1780.7,61.14,52149.007813
2021-02-18,27.134,1773.15,60.52,51679.796875
2021-02-19,27.321,1786.2,59.24,55888.132813
2021-02-20,27.399,1793.2833333333333,59.99,56099.519531
2021-02-21,27.477,1800.3666666666668,60.74,57539.945313
2021-02-22,28.166,1807.45,61.49,54207.320313
2021-02-23,27.782,1799.65,61.67,48824.425781
2021-02-24,27.963,1788.0,63.22,49705.332031
2021-02-25,27.733,1779.65,63.53,47093.851563
2021-02-26,26.498,1742.85,61.5,46339.761719
2021-02-27,26.665,1739.95,60.0475,46188.453125
2021-02-28,26.832,1737.05,58.595,45137.769531
2021-03-01,26.728,1734.15,57.1425,49631.242188
2021-03-02,26.933,1723.85,55.69,48378.988281
2021-03-03,26.451,1711.4,61.28,50538.242188
2021-03-04,25.527,1712.1,62.885,48561.167969
2021-03-05,25.355,1696.25,64.49,48927.304688
2021-03-06,25.4225,1693.1833333333334,68.81,48912.382813
2021-03-07,25.49,1690.1166666666666,69.685,51206.691406
2021-03-08,25.324,1687.05,70.56,52246.523438
2021-03-09,26.241,1716.9,69.29,54824.117188
2021-03-10,26.186,1716.2,75.075,56008.550781
2021-03-11,26.246,1724.25,80.86,57805.121094
2021-03-12,25.958,1704.8,66.26,57332.089844
2021-03-13,26.008,1711.0833333333333,65.97,61243.085938
2021-03-14,26.058,1717.3666666666668,65.68,59302.316406
2021-03-15,26.348,1723.65,65.39,55907.199219
2021-03-16,26.058,1735.0,64.8,56804.902344
2021-03-17,26.113,1729.65,64.6,58870.894531
2021-03-18,26.404,1725.9,60.0,57858.921875
2021-03-19,26.371,1735.2,61.42,58346.652344
2021-03-20,26.162,1735.5166666666667,61.46333333333333,58313.644531
2021-03-21,25.953,1735.8333333333335,61.50666666666667,57523.421875
2021-03-22,25.818,1736.15,61.55,54529.144531
2021-03-23,25.285,1726.2,57.76,54738.945313
2021-03-24,25.295,1730.5,61.18,52774.265625
2021-03-25,25.108,1737.3,58.56,51704.160156
2021-03-26,25.184,1731.8,60.97,55137.3125
2021-03-27,25.133000000000003,1723.1833333333334,61.166666666666664,55973.511719
2021-03-28,25.082,1714.5666666666666,61.36333333333334,55950.746094
2021-03-29,24.841,1705.95,61.56,57750.199219
2021-03-30,24.209,1683.95,60.55,58917.691406
2021-03-31,24.609,1691.05,59.16,58918.832031
2021-04-01,25.02,1726.05,47.62,59095.808594
2021-04-02,25.029,1726.05,56.23,59384.3125
2021-04-03,25.038,1726.05,63.83,57603.890625
2021-04-04,25.047,1726.05,64.75999999999999,58758.554688
2021-04-05,24.855,1726.05,65.69,59057.878906
2021-04-06,25.302,1744.65,69.62,58192.359375
2021-04-07,25.312,1738.05,75.14,56048.9375
2021-04-08,25.653,1755.5,68.15,58323.953125
2021-04-09,25.389,1741.2,72.885,58245.003906
2021-04-10,25.347,1738.4166666666667,77.62,59793.234375
2021-04-11,25.305,1735.6333333333332,78.81,60204.964844
2021-04-12,24.931,1732.85,69.495,59893.453125
2021-04-13,25.491,1747.95,60.18,63503.457031
2021-04-14,25.59,1735.55,63.15,63109.695313
2021-04-15,26.026,1757.2,63.46,63314.011719
2021-04-16,26.169,1774.45,63.13,61572.789063
2021-04-17,26.0785,1774.4666666666667,63.21333333333334,60683.820313
2021-04-18,25.988,1774.4833333333333,63.29666666666667,56216.183594
2021-04-19,25.902,1774.5,63.38,55724.265625
2021-04-20,25.904,1777.85,62.44,56473.03125
2021-04-21,26.632,1798.2,61.35,53906.089844
2021-04-22,26.247,1787.75,61.43,51762.273438
2021-04-23,26.142,1781.8,62.14,51093.652344
2021-04-24,26.0685,1778.9833333333333,62.06333333333333,50050.867188
2021-04-25,25.995,1776.1666666666665,61.986666666666665,49004.253906
2021-04-26,26.276,1773.35,61.91,54021.753906
2021-04-27,26.484,1784.15,62.94,55033.117188
2021-04-28,26.151,1772.2,63.86,54824.703125
2021-04-29,26.115,1762.65,65.01,53555.109375
2021-04-30,25.9,1767.65,63.58,57750.175781
2021-05-01,25.909,1767.65,49.93,57828.050781
2021-05-02,25.918,1767.65,56.85,56631.078125
2021-05-03,26.988,1767.65,66.09,57200.292969
2021-05-04,26.583,1797.75,58.65,53333.539063
2021-05-05,26.548,1782.25,65.63,57424.007813
2021-05-06,27.503,1813.15,70.94,56396.515625
2021-05-07,27.502,1836.55,76.25,57356.402344
2021-05-08,27.6345,1837.85,69.09,58803.777344
2021-05-09,27.767,1839.15,68.75,58232.316406
2021-05-10,27.517,1840.45,78.93,55859.796875
2021-05-11,27.69,1829.1,81.27,56704.574219
2021-05-12,27.267,1830.7,72.545,49150.535156
2021-05-13,27.083,1821.8,63.82,49716.191406
2021-05-14,27.39,1838.1,65.37,49880.535156
2021-05-15,27.486,1843.3,65.67,46760.1875
2021-05-16,27.582,1848.5,65.97,46456.058594
2021-05-17,28.298,1853.7,66.27,43537.511719
2021-05-18,28.358,1866.75,65.49,42909.402344
2021-05-19,28.047,1888.45,63.36,37002.441406
2021-05-20,28.091,1878.3,62.05,40782.738281
2021-05-21,27.51,1875.9,63.58,37304.691406
2021-05-22,27.5835,1877.3166666666668,64.40333333333334,37536.632813
2021-05-23,27.657,1878.7333333333333,65.22666666666666,34770.582031
2021-05-24,27.932,1880.15,66.05,38705.980469
2021-05-25,28.086,1887.0,66.07,38402.222656
2021-05-26,27.907,1899.75,66.21,39294.199219
2021-05-27,27.971,1891.45,66.85,38436.96875
2021-05-28,28.045,1899.95,66.32,35697.605469
2021-05-29,28.0515,1899.95,66.455,34616.066406
2021-05-30,28.058,1899.95,66.59,35678.128906
2021-05-31,28.192,1899.95,66.96,37332.855469
2021-06-01,28.134,1899.35,50.63,36684.925781
2021-06-02,28.235,1902.75,53.53,37575.179688
2021-06-03,27.506,1866.55,56.43,39208.765625
2021-06-04,27.926,1890.6,59.33,36894.40625
2021-06-05,27.902,1889.8666666666666,64.71,35551.957031
2021-06-06,27.878,1889.1333333333334,69.03999999999999,35862.378906
2021-06-07,28.05,1888.4,73.37,33560.707031
2021-06-08,27.762,1893.15,68.28,33472.632813
2021-06-09,28.032,1894.6,68.8,37345.121094
2021-06-10,28.062,1888.65,77.43,36702.597656
2021-06-11,28.18,1881.05,73.46000000000001,37334.398438
2021-06-12,28.0675,1875.8999999999999,69.49,35552.515625
2021-06-13,27.955,1870.75,70.185,39097.859375
2021-06-14,28.074,1865.6,70.88,40218.476563
2021-06-15,27.73,1865.1,72.12,40406.269531
2021-06-16,27.848,1860.75,72.15,38347.0625
2021-06-17,25.892,1778.7,71.04,38053.503906
2021-06-18,26.009,1773.1,71.64,35787.246094
2021-06-19,25.9695,1773.75,72.31333333333333,35615.871094
2021-06-20,25.93,1774.3999999999999,72.98666666666666,35698.296875
2021-06-21,26.065,1775.05,73.66,31676.693359
2021-06-22,25.898,1775.05,73.06,32505.660156
2021-06-23,26.152,1791.6,73.08,33723.027344
2021-06-24,26.089,1784.85,73.3,34662.4375
2021-06-25,26.126,1786.65,74.05,31637.779297
2021-06-26,26.159,1784.5333333333333,73.67,32186.277344
2021-06-27,26.192,1782.4166666666667,73.28999999999999,34649.644531
2021-06-28,26.254,1780.3,72.91,34434.335938
2021-06-29,25.901,1755.45,72.98,35867.777344
2021-06-30,26.194,1763.15,73.47,35040.835938
2021-07-01,26.1,1781.5,50.83,33572.117188
2021-07-02,26.501,1786.15,53.81,33897.046875
2021-07-03,26.513333333333335,1787.8833333333334,56.79,34668.546875
2021-07-04,26.525666666666666,1789.6166666666666,59.77,35287.78125
2021-07-05,26.538,1791.35,64.9,33746.003906
2021-07-06,26.174,1809.85,69.23,34235.195313
2021-07-07,26.129,1804.65,72.2,33855.328125
2021-07-08,25.987,1807.7,70.275,32877.371094
2021-07-09,26.234,1806.0,68.35,33798.011719
2021-07-10,26.213,1801.4666666666667,78.3,33520.519531
2021-07-11,26.192,1796.9333333333334,75.175,34240.1875
2021-07-12,26.239,1792.4,72.05,33155.847656
2021-07-13,26.14,1813.85,75.25,32702.025391
2021-07-14,26.271,1823.2,73.13,32822.347656
2021-07-15,26.394,1823.75,71.65,31780.730469
2021-07-16,25.795,1824.3,71.81,31421.539063
2021-07-17,25.771,1821.1666666666667,70.01333333333334,31533.068359
2021-07-18,25.747,1818.0333333333333,68.21666666666667,31796.810547
2021-07-19,25.144,1814.9,66.42,30817.832031
2021-07-20,24.995,1823.05,67.42,29807.347656
2021-07-21,25.255,1802.15,70.3,32110.693359
2021-07-22,25.381,1799.45,71.91,32313.105469
2021-07-23,25.233,1799.6,72.07,33581.550781
